story,case,direction,drift,label,x_m,y_m
Story5,DRIFT_YP_TN,X,0.00004600,7,0.000000,0.000000
Story5,DRIFT_YP_TN,Y,0.00045700,7,0.000000,0.000000
Story5,DRIFT_YN_TP,X,0.00004600,7,0.000000,0.000000
Story5,DRIFT_YN_TP,Y,0.00045700,7,0.000000,0.000000
Story5,DRIFT_YN_TN,X,0.00004600,7,0.000000,0.000000
Story5,DRIFT_YN_TN,Y,0.00030300,7,0.000000,0.000000
Story5,DRIFT_XP_TP,X,0.00039500,8,0.000000,0.000000
Story5,DRIFT_XP_TP,Y,0.00007700,8,0.000000,0.000000
Story5,DRIFT_XP_TN,X,0.00036400,8,0.000000,0.000000
Story5,DRIFT_XP_TN,Y,0.00007700,8,0.000000,0.000000
Story5,DRIFT_XN_TP,X,0.00036400,8,0.000000,0.000000
Story5,DRIFT_XN_TP,Y,0.00007700,8,0.000000,0.000000
Story5,DRIFT_XN_TN,X,0.00039500,8,0.000000,0.000000
Story5,DRIFT_XN_TN,Y,0.00007700,8,0.000000,0.000000
Story5,DRIFT_YP_TP,X,0.00001500,8,0.000000,0.000000
Story5,DRIFT_YP_TP,Y,0.00030300,8,0.000000,0.000000
Story5,DRIFT_YP_TN,X,0.00001500,8,0.000000,0.000000
Story5,DRIFT_YP_TN,Y,0.00045700,8,0.000000,0.000000
Story5,DRIFT_YN_TP,X,0.00001500,8,0.000000,0.000000
Story5,DRIFT_YN_TP,Y,0.00045700,8,0.000000,0.000000
Story5,DRIFT_YN_TN,X,0.00001500,8,0.000000,0.000000
Story5,DRIFT_YN_TN,Y,0.00030300,8,0.000000,0.000000
Story5,DRIFT_XP_TP,X,0.00045700,9,0.000000,0.000000
Story5,DRIFT_XP_TP,Y,0.00004600,9,0.000000,0.000000
Story5,DRIFT_XP_TN,X,0.00030300,9,0.000000,0.000000
Story5,DRIFT_XP_TN,Y,0.00004600,9,0.000000,0.000000
Story5,DRIFT_XN_TP,X,0.00030300,9,0.000000,0.000000
Story5,DRIFT_XN_TP,Y,0.00004600,9,0.000000,0.000000
Story5,DRIFT_XN_TN,X,0.00045700,9,0.000000,0.000000
Story5,DRIFT_XN_TN,Y,0.00004600,9,0.000000,0.000000
Story5,DRIFT_YP_TP,X,0.00007700,9,0.000000,0.000000
Story5,DRIFT_YP_TP,Y,0.00033400,9,0.000000,0.000000
Story5,DRIFT_YP_TN,X,0.00007700,9,0.000000,0.000000
Story5,DRIFT_YP_TN,Y,0.00042600,9,0.000000,0.000000
Story5,DRIFT_YN_TP,X,0.00007700,9,0.000000,0.000000
Story5,DRIFT_YN_TP,Y,0.00042600,9,0.000000,0.000000
Story5,DRIFT_YN_TN,X,0.00007700,9,0.000000,0.000000
Story5,DRIFT_YN_TN,Y,0.00033400,9,0.000000,0.000000
Story5,DRIFT_XP_TP,X,0.00042600,10,0.000000,0.000000
Story5,DRIFT_XP_TP,Y,0.00004600,10,0.000000,0.000000
Story5,DRIFT_XP_TN,X,0.00033400,10,0.000000,0.000000
Story5,DRIFT_XP_TN,Y,0.00004600,10,0.000000,0.000000
Story5,DRIFT_XN_TP,X,0.00033400,10,0.000000,0.000000
Story5,DRIFT_XN_TP,Y,0.00004600,10,0.000000,0.000000
Story5,DRIFT_XN_TN,X,0.00042600,10,0.000000,0.000000
Story5,DRIFT_XN_TN,Y,0.00004600,10,0.000000,0.000000
Story5,DRIFT_YP_TP,X,0.00004600,10,0.000000,0.000000
Story5,DRIFT_YP_TP,Y,0.00033400,10,0.000000,0.000000
Story5,DRIFT_YP_TN,X,0.00004600,10,0.000000,0.000000
Story5,DRIFT_YP_TN,Y,0.00042600,10,0.000000,0.000000
Story5,DRIFT_YN_TP,X,0.00004600,10,0.000000,0.000000
Story5,DRIFT_YN_TP,Y,0.00042600,10,0.000000,0.000000
Story5,DRIFT_YN_TN,X,0.00004600,10,0.000000,0.000000
Story5,DRIFT_YN_TN,Y,0.00033400,10,0.000000,0.000000
Story5,DRIFT_XP_TP,X,0.00039500,11,0.000000,0.000000
Story5,DRIFT_XP_TP,Y,0.00004600,11,0.000000,0.000000
Story5,DRIFT_XP_TN,X,0.00036400,11,0.000000,0.000000
Story5,DRIFT_XP_TN,Y,0.00004600,11,0.000000,0.000000
Story5,DRIFT_XN_TP,X,0.00036400,11,0.000000,0.000000
Story5,DRIFT_XN_TP,Y,0.00004600,11,0.000000,0.000000
Story5,DRIFT_XN_TN,X,0.00039500,11,0.000000,0.000000
Story5,DRIFT_XN_TN,Y,0.00004600,11,0.000000,0.000000
Story5,DRIFT_YP_TP,X,0.00001500,11,0.000000,0.000000
Story5,DRIFT_YP_TP,Y,0.00033400,11,0.000000,0.000000
Story5,DRIFT_YP_TN,X,0.00001500,11,0.000000,0.000000
Story5,DRIFT_YP_TN,Y,0.00042600,11,0.000000,0.000000
Story5,DRIFT_YN_TP,X,0.00001500,11,0.000000,0.000000
Story5,DRIFT_YN_TP,Y,0.00042600,11,0.000000,0.000000
Story5,DRIFT_YN_TN,X,0.00001500,11,0.000000,0.000000
Story5,DRIFT_YN_TN,Y,0.00033400,11,0.000000,0.000000
Story5,DRIFT_XP_TP,X,0.00036400,12,0.000000,0.000000
Story5,DRIFT_XP_TP,Y,0.00004600,12,0.000000,0.000000
Story5,DRIFT_XP_TN,X,0.00039500,12,0.000000,0.000000
Story5,DRIFT_XP_TN,Y,0.00004600,12,0.000000,0.000000
Story5,DRIFT_XN_TP,X,0.00039500,12,0.000000,0.000000
Story5,DRIFT_XN_TP,Y,0.00004600,12,0.000000,0.000000
Story5,DRIFT_XN_TN,X,0.00036400,12,0.000000,0.000000
Story5,DRIFT_XN_TN,Y,0.00004600,12,0.000000,0.000000
Story5,DRIFT_YP_TP,X,0.00001500,12,0.000000,0.000000
Story5,DRIFT_YP_TP,Y,0.00033400,12,0.000000,0.000000
Story5,DRIFT_YP_TN,X,0.00001500,12,0.000000,0.000000
Story5,DRIFT_YP_TN,Y,0.00042600,12,0.000000,0.000000
Story5,DRIFT_YN_TP,X,0.00001500,12,0.000000,0.000000
Story5,DRIFT_YN_TP,Y,0.00042600,12,0.000000,0.000000
Story5,DRIFT_YN_TN,X,0.00001500,12,0.000000,0.000000
Story5,DRIFT_YN_TN,Y,0.00033400,12,0.000000,0.000000
Story5,DRIFT_XP_TP,X,0.00045700,13,0.000000,0.000000
Story5,DRIFT_XP_TP,Y,0.00001500,13,0.000000,0.000000
Story5,DRIFT_XP_TN,X,0.00030300,13,0.000000,0.000000
Story5,DRIFT_XP_TN,Y,0.00001500,13,0.000000,0.000000
Story5,DRIFT_XN_TP,X,0.00030300,13,0.000000,0.000000
Story5,DRIFT_XN_TP,Y,0.00001500,13,0.000000,0.000000
Story5,DRIFT_XN_TN,X,0.00045700,13,0.000000,0.000000
Story5,DRIFT_XN_TN,Y,0.00001500,13,0.000000,0.000000
Story5,DRIFT_YP_TP,X,0.00007700,13,0.000000,0.000000
Story5,DRIFT_YP_TP,Y,0.00036400,13,0.000000,0.000000
Story5,DRIFT_YP_TN,X,0.00007700,13,0.000000,0.000000
Story5,DRIFT_YP_TN,Y,0.00039500,13,0.000000,0.000000
Story5,DRIFT_YN_TP,X,0.00007700,13,0.000000,0.000000
Story5,DRIFT_YN_TP,Y,0.00039500,13,0.000000,0.000000
Story5,DRIFT_YN_TN,X,0.00007700,13,0.000000,0.000000
Story5,DRIFT_YN_TN,Y,0.00036400,13,0.000000,0.000000
Story5,DRIFT_XP_TP,X,0.00042600,14,0.000000,0.000000
Story5,DRIFT_XP_TP,Y,0.00001500,14,0.000000,0.000000
Story5,DRIFT_XP_TN,X,0.00033400,14,0.000000,0.000000
Story5,DRIFT_XP_TN,Y,0.00001500,14,0.000000,0.000000
Story5,DRIFT_XN_TP,X,0.00033400,14,0.000000,0.000000
Story5,DRIFT_XN_TP,Y,0.00001500,14,0.000000,0.000000
Story5,DRIFT_XN_TN,X,0.00042600,14,0.000000,0.000000
Story5,DRIFT_XN_TN,Y,0.00001500,14,0.000000,0.000000
Story5,DRIFT_YP_TP,X,0.00004600,14,0.000000,0.000000
Story5,DRIFT_YP_TP,Y,0.00036400,14,0.000000,0.000000
Story5,DRIFT_YP_TN,X,0.00004600,14,0.000000,0.000000
Story5,DRIFT_YP_TN,Y,0.00039500,14,0.000000,0.000000
Story5,DRIFT_YN_TP,X,0.00004600,14,0.000000,0.000000
Story5,DRIFT_YN_TP,Y,0.00039500,14,0.000000,0.000000
Story5,DRIFT_YN_TN,X,0.00004600,14,0.000000,0.000000
Story5,DRIFT_YN_TN,Y,0.00036400,14,0.000000,0.000000
Story5,DRIFT_XP_TP,X,0.00039500,15,0.000000,0.000000
Story5,DRIFT_XP_TP,Y,0.00001500,15,0.000000,0.000000
Story5,DRIFT_XP_TN,X,0.00036400,15,0.000000,0.000000
Story5,DRIFT_XP_TN,Y,0.00001500,15,0.000000,0.000000
Story5,DRIFT_XN_TP,X,0.00036400,15,0.000000,0.000000
Story5,DRIFT_XN_TP,Y,0.00001500,15,0.000000,0.000000
Story5,DRIFT_XN_TN,X,0.00039500,15,0.000000,0.000000
Story5,DRIFT_XN_TN,Y,0.00001500,15,0.000000,0.000000
Story5,DRIFT_YP_TP,X,0.00001500,15,0.000000,0.000000
Story5,DRIFT_YP_TP,Y,0.00036400,15,0.000000,0.000000
Story5,DRIFT_YP_TN,X,0.00001500,15,0.000000,0.000000
Story5,DRIFT_YP_TN,Y,0.00039500,15,0.000000,0.000000
Story5,DRIFT_YN_TP,X,0.00001500,15,0.000000,0.000000
Story5,DRIFT_YN_TP,Y,0.00039500,15,0.000000,0.000000
Story5,DRIFT_YN_TN,X,0.00001500,15,0.000000,0.000000
Story5,DRIFT_YN_TN,Y,0.00036400,15,0.000000,0.000000
Story5,DRIFT_XP_TP,X,0.00036400,16,0.000000,0.000000
Story5,DRIFT_XP_TP,Y,0.00001500,16,0.000000,0.000000
Story5,DRIFT_XP_TN,X,0.00039500,16,0.000000,0.000000
Story5,DRIFT_XP_TN,Y,0.00001500,16,0.000000,0.000000
Story5,DRIFT_XN_TP,X,0.00039500,16,0.000000,0.000000
Story5,DRIFT_XN_TP,Y,0.00001500,16,0.000000,0.000000
Story5,DRIFT_XN_TN,X,0.00036400,16,0.000000,0.000000
Story5,DRIFT_XN_TN,Y,0.00001500,16,0.000000,0.000000
Story5,DRIFT_YP_TP,X,0.00001500,16,0.000000,0.000000
Story5,DRIFT_YP_TP,Y,0.00036400,16,0.000000,0.000000
Story5,DRIFT_YP_TN,X,0.00001500,16,0.000000,0.000000
Story5,DRIFT_YP_TN,Y,0.00039500,16,0.000000,0.000000
Story5,DRIFT_YN_TP,X,0.00001500,16,0.000000,0.000000
Story5,DRIFT_YN_TP,Y,0.00039500,16,0.000000,0.000000
Story5,DRIFT_YN_TN,X,0.00001500,16,0.000000,0.000000
Story5,DRIFT_YN_TN,Y,0.00036400,16,0.000000,0.000000
Story5,DRIFT_XP_TP,X,0.00033400,17,0.000000,0.000000
Story5,DRIFT_XP_TP,Y,0.00001500,17,0.000000,0.000000
Story5,DRIFT_XP_TN,X,0.00042600,17,0.000000,0.000000
Story5,DRIFT_XP_TN,Y,0.00001500,17,0.000000,0.000000
Story5,DRIFT_XN_TP,X,0.00042600,17,0.000000,0.000000
Story5,DRIFT_XN_TP,Y,0.00001500,17,0.000000,0.000000
Story5,DRIFT_XN_TN,X,0.00033400,17,0.000000,0.000000
Story5,DRIFT_XN_TN,Y,0.00001500,17,0.000000,0.000000
Story5,DRIFT_YP_TP,X,0.00004600,17,0.000000,0.000000
Story5,DRIFT_YP_TP,Y,0.00036400,17,0.000000,0.000000
Story5,DRIFT_YP_TN,X,0.00004600,17,0.000000,0.000000
Story5,DRIFT_YP_TN,Y,0.00039500,17,0.000000,0.000000
Story5,DRIFT_YN_TP,X,0.00004600,17,0.000000,0.000000
Story5,DRIFT_YN_TP,Y,0.00039500,17,0.000000,0.000000
Story5,DRIFT_YN_TN,X,0.00004600,17,0.000000,0.000000
Story5,DRIFT_YN_TN,Y,0.00036400,17,0.000000,0.000000
Story5,DRIFT_XP_TP,X,0.00030300,18,0.000000,0.000000
Story5,DRIFT_XP_TP,Y,0.00001500,18,0.000000,0.000000
Story5,DRIFT_XP_TN,X,0.00045700,18,0.000000,0.000000
Story5,DRIFT_XP_TN,Y,0.00001500,18,0.000000,0.000000
Story5,DRIFT_XN_TP,X,0.00045700,18,0.000000,0.000000
Story5,DRIFT_XN_TP,Y,0.00001500,18,0.000000,0.000000
Story5,DRIFT_XN_TN,X,0.00030300,18,0.000000,0.000000
Story5,DRIFT_XN_TN,Y,0.00001500,18,0.000000,0.000000
Story5,DRIFT_YP_TP,X,0.00007700,18,0.000000,0.000000
Story5,DRIFT_YP_TP,Y,0.00036400,18,0.000000,0.000000
Story5,DRIFT_YP_TN,X,0.00007700,18,0.000000,0.000000
Story5,DRIFT_YP_TN,Y,0.00039500,18,0.000000,0.000000
Story5,DRIFT_YN_TP,X,0.00007700,18,0.000000,0.000000
Story5,DRIFT_YN_TP,Y,0.00039500,18,0.000000,0.000000
Story5,DRIFT_YN_TN,X,0.00007700,18,0.000000,0.000000
Story5,DRIFT_YN_TN,Y,0.00036400,18,0.000000,0.000000
Story5,DRIFT_XP_TP,X,0.00045700,19,0.000000,0.000000
Story5,DRIFT_XP_TP,Y,0.00001500,19,0.000000,0.000000
Story5,DRIFT_XP_TN,X,0.00030300,19,0.000000,0.000000
Story5,DRIFT_XP_TN,Y,0.00001500,19,0.000000,0.000000
Story5,DRIFT_XN_TP,X,0.00030300,19,0.000000,0.000000
Story5,DRIFT_XN_TP,Y,0.00001500,19,0.000000,0.000000
Story5,DRIFT_XN_TN,X,0.00045700,19,0.000000,0.000000
Story5,DRIFT_XN_TN,Y,0.00001500,19,0.000000,0.000000
Story5,DRIFT_YP_TP,X,0.00007700,19,0.000000,0.000000
Story5,DRIFT_YP_TP,Y,0.00039500,19,0.000000,0.000000
Story5,DRIFT_YP_TN,X,0.00007700,19,0.000000,0.000000
Story5,DRIFT_YP_TN,Y,0.00036400,19,0.000000,0.000000
Story5,DRIFT_YN_TP,X,0.00007700,19,0.000000,0.000000
Story5,DRIFT_YN_TP,Y,0.00036400,19,0.000000,0.000000
Story5,DRIFT_YN_TN,X,0.00007700,19,0.000000,0.000000
Story5,DRIFT_YN_TN,Y,0.00039500,19,0.000000,0.000000
Story5,DRIFT_XP_TP,X,0.00042600,20,0.000000,0.000000
Story5,DRIFT_XP_TP,Y,0.00001500,20,0.000000,0.000000
Story5,DRIFT_XP_TN,X,0.00033400,20,0.000000,0.000000
Story5,DRIFT_XP_TN,Y,0.00001500,20,0.000000,0.000000
Story5,DRIFT_XN_TP,X,0.00033400,20,0.000000,0.000000
Story5,DRIFT_XN_TP,Y,0.00001500,20,0.000000,0.000000
Story5,DRIFT_XN_TN,X,0.00042600,20,0.000000,0.000000
Story5,DRIFT_XN_TN,Y,0.00001500,20,0.000000,0.000000
Story5,DRIFT_YP_TP,X,0.00004600,20,0.000000,0.000000
Story5,DRIFT_YP_TP,Y,0.00039500,20,0.000000,0.000000
Story5,DRIFT_YP_TN,X,0.00004600,20,0.000000,0.000000
Story5,DRIFT_YP_TN,Y,0.00036400,20,0.000000,0.000000
Story5,DRIFT_YN_TP,X,0.00004600,20,0.000000,0.000000
Story5,DRIFT_YN_TP,Y,0.00036400,20,0.000000,0.000000
Story5,DRIFT_YN_TN,X,0.00004600,20,0.000000,0.000000
Story5,DRIFT_YN_TN,Y,0.00039500,20,0.000000,0.000000
Story5,DRIFT_XP_TP,X,0.00039500,21,0.000000,0.000000
Story5,DRIFT_XP_TP,Y,0.00001500,21,0.000000,0.000000
Story5,DRIFT_XP_TN,X,0.00036400,21,0.000000,0.000000
Story5,DRIFT_XP_TN,Y,0.00001500,21,0.000000,0.000000
Story5,DRIFT_XN_TP,X,0.00036400,21,0.000000,0.000000
Story5,DRIFT_XN_TP,Y,0.00001500,21,0.000000,0.000000
Story5,DRIFT_XN_TN,X,0.00039500,21,0.000000,0.000000
Story5,DRIFT_XN_TN,Y,0.00001500,21,0.000000,0.000000
Story5,DRIFT_YP_TP,X,0.00001500,21,0.000000,0.000000
Story5,DRIFT_YP_TP,Y,0.00039500,21,0.000000,0.000000
Story5,DRIFT_YP_TN,X,0.00001500,21,0.000000,0.000000
Story5,DRIFT_YP_TN,Y,0.00036400,21,0.000000,0.000000
Story5,DRIFT_YN_TP,X,0.00001500,21,0.000000,0.000000
Story5,DRIFT_YN_TP,Y,0.00036400,21,0.000000,0.000000
Story5,DRIFT_YN_TN,X,0.00001500,21,0.000000,0.000000
Story5,DRIFT_YN_TN,Y,0.00039500,21,0.000000,0.000000
Story5,DRIFT_XP_TP,X,0.00036400,22,0.000000,0.000000
Story5,DRIFT_XP_TP,Y,0.00001500,22,0.000000,0.000000
Story5,DRIFT_XP_TN,X,0.00039500,22,0.000000,0.000000
Story5,DRIFT_XP_TN,Y,0.00001500,22,0.000000,0.000000
Story5,DRIFT_XN_TP,X,0.00039500,22,0.000000,0.000000
Story5,DRIFT_XN_TP,Y,0.00001500,22,0.000000,0.000000
Story5,DRIFT_XN_TN,X,0.00036400,22,0.000000,0.000000
Story5,DRIFT_XN_TN,Y,0.00001500,22,0.000000,0.000000
Story5,DRIFT_YP_TP,X,0.00001500,22,0.000000,0.000000
Story5,DRIFT_YP_TP,Y,0.00039500,22,0.000000,0.000000
Story5,DRIFT_YP_TN,X,0.00001500,22,0.000000,0.000000
