Story,Diaphragm,OutputCase,CaseType,StepType,StepNumber,UX,UY,RZ,Point,X,Y,Z
Story19,D1,ED1_DYN_XP,Combination,Min,None,-0.049366,-0.007207,-0.002376,1352,19.82,7.0331,50.2
Story19,D1,ED1_DYN_XN,Combination,Max,None,0.04936,-0.000176,0.002658,1352,19.82,7.0331,50.2
Story19,D1,ED1_DYN_XN,Combination,Min,None,-0.049366,-0.007207,-0.002376,1352,19.82,7.0331,50.2
Story19,D1,ED1_DYN_YP,Combination,Max,None,0.003964,0.050041,0.001198,1352,19.82,7.0331,50.2
Story19,D1,ED1_DYN_YP,Combination,Min,None,-0.00397,-0.057424,-0.000917,1352,19.82,7.0331,50.2
Story19,D1,ED1_DYN_YN,Combination,Max,None,0.003964,0.050041,0.001198,1352,19.82,7.0331,50.2
Story19,D1,ED1_DYN_YN,Combination,Min,None,-0.00397,-0.057424,-0.000917,1352,19.82,7.0331,50.2
Story19,D1,ED1_DYN_09_XP,Combination,Max,None,0.049371,0.001333,0.002599,1352,19.82,7.0331,50.2
Story19,D1,ED1_DYN_09_XP,Combination,Min,None,-0.049355,-0.005697,-0.002434,1352,19.82,7.0331,50.2
Story19,D1,ED1_DYN_09_XN,Combination,Max,None,0.049371,0.001333,0.002599,1352,19.82,7.0331,50.2
Story19,D1,ED1_DYN_09_XN,Combination,Min,None,-0.049355,-0.005697,-0.002434,1352,19.82,7.0331,50.2
Story19,D1,ED1_DYN_09_YP,Combination,Max,None,0.003975,0.051551,0.00114,1352,19.82,7.0331,50.2
Story19,D1,ED1_DYN_09_YP,Combination,Min,None,-0.003959,-0.055915,-0.000975,1352,19.82,7.0331,50.2
Story19,D1,ED1_DYN_09_YN,Combination,Max,None,0.003975,0.051551,0.00114,1352,19.82,7.0331,50.2
Story19,D1,ED1_DYN_09_YN,Combination,Min,None,-0.003959,-0.055915,-0.000975,1352,19.82,7.0331,50.2
Story18,D1,Dead,LinStatic,None,None,1.4E-05,-0.001802,6.7E-05,1353,19.82,7.0331,47.6
Story18,D1,Live,LinStatic,None,None,0,0,0,1353,19.82,7.0331,47.6
Story18,D1,MODAL,LinModEigen,Mode,1,1.2E-05,1E-06,1E-06,1353,19.82,7.0331,47.6
Story18,D1,MODAL,LinModEigen,Mode,2,1E-06,1.6E-05,-1.381E-07,1353,19.82,7.0331,47.6
Story18,D1,MODAL,LinModEigen,Mode,3,-1.1E-05,2E-06,1E-06,1353,19.82,7.0331,47.6
Story18,D1,MODAL,LinModEigen,Mode,4,1E-05,2.121E-07,2.273E-07,1353,19.82,7.0331,47.6
Story18,D1,MODAL,LinModEigen,Mode,5,-1.785E-07,1E-05,-1.616E-08,1353,19.82,7.0331,47.6
Story18,D1,MODAL,LinModEigen,Mode,6,-3E-06,1.807E-07,1E-06,1353,19.82,7.0331,47.6
Story18,D1,MODAL,LinModEigen,Mode,7,4E-06,2.636E-08,7.785E-08,1353,19.82,7.0331,47.6
Story18,D1,MODAL,LinModEigen,Mode,8,-3.214E-08,4E-06,-6.629E-09,1353,19.82,7.0331,47.6
Story18,D1,MODAL,LinModEigen,Mode,9,1E-06,-6.434E-08,-3.484E-07,1353,19.82,7.0331,47.6
