Story,OutputCase,CaseType,StepType,StepNumber,Item,Max Drift,Avg Drift,Ratio,Label,Max Loc X,Max Loc Y,Max Loc Z
Story18,MODAL,LinModEigen,Mode,8,Diaph D1 Y,2E-06,2E-06,1.027,2,0,6.446,47.6
Story18,MODAL,LinModEigen,Mode,9,Diaph D1 X,2E-06,4.946E-07,3.662,53,25.115,13.821,47.6
Story18,MODAL,LinModEigen,Mode,9,Diaph D1 Y,4E-06,6.883E-08,54.288,2,0,6.446,47.6
Story18,MODAL,LinModEigen,Mode,10,Diaph D1 X,3E-06,3E-06,1.124,15,27.834,0,47.6
Story18,MODAL,LinModEigen,Mode,11,Diaph D1 Y,3E-06,3E-06,1.052,2,0,6.446,47.6
Story18,MODAL,LinModEigen,Mode,12,Diaph D1 X,2E-06,1E-06,3.89,53,25.115,13.821,47.6
Story18,PP,LinStatic,None,None,Diaph D1 Y,0.000105,6.2E-05,1.689,2,0,6.446,47.6
Story18,TERP,LinStatic,None,None,Diaph D1 Y,2.4E-05,1.4E-05,1.724,2,0,6.446,47.6
Story18,TERT,LinStatic,None,None,Diaph D1 Y,2E-06,1E-06,1.748,2,0,6.446,47.6
Story18,SCP,LinStatic,None,None,Diaph D1 Y,4.3E-05,2.5E-05,1.724,2,0,6.446,47.6
Story18,SCT,LinStatic,None,None,Diaph D1 Y,2E-06,1E-06,1.748,2,0,6.446,47.6
Story18,SEx,LinRespSpec,Max,None,Diaph D1 X,0.00096,0.000896,1.072,15,27.834,0,47.6
Story18,SEx,LinRespSpec,Max,None,Diaph D1 Y,0.000934,0.000477,1.959,22,38.505,13.821,47.6
Story18,SEy,LinRespSpec,Max,None,Diaph D1 Y,0.001347,0.001177,1.145,2,0,6.446,47.6
Story18,SEx_b2,LinRespSpec,Max,None,Diaph D1 X,0.000919,0.000874,1.051,15,27.834,0,47.6
Story18,SEx_b2,LinRespSpec,Max,None,Diaph D1 Y,0.000838,0.000425,1.971,22,38.505,13.821,47.6
Story18,SEy_b2,LinRespSpec,Max,None,Diaph D1 Y,0.00106,0.001004,1.056,2,0,6.446,47.6
Story18,ED1_C1_1.4CP,Combination,None,None,Diaph D1 Y,0.000182,0.000107,1.696,2,0,6.446,47.6
Story18,ED1_C2_1.2CP_1.6L_0.5Lr,Combination,None,None,Diaph D1 Y,0.000225,0.000132,1.704,2,0,6.446,47.6
Story18,ED1_C3_1.2CP_L_1.6Lr,Combination,None,None,Diaph D1 Y,0.000201,0.000118,1.702,2,0,6.446,47.6
Story18,ED1_DYN_XP,Combination,Max,None,Diaph D1 X,0.001375,0.001267,1.085,15,27.834,0,47.6
Story18,ED1_DYN_XP,Combination,Max,None,Diaph D1 Y,0.001272,0.00059,2.156,22,38.505,13.821,47.6
Story18,ED1_DYN_XP,Combination,Min,None,Diaph D1 X,0.001314,0.00124,1.059,15,27.834,0,47.6
Story18,ED1_DYN_XP,Combination,Min,None,Diaph D1 Y,0.001409,0.000778,1.811,2,0,6.446,47.6
Story18,ED1_DYN_XN,Combination,Max,None,Diaph D1 X,0.001375,0.001267,1.085,15,27.834,0,47.6
Story18,ED1_DYN_XN,Combination,Max,None,Diaph D1 Y,0.001272,0.00059,2.156,22,38.505,13.821,47.6
Story18,ED1_DYN_XN,Combination,Min,None,Diaph D1 X,0.001314,0.00124,1.059,15,27.834,0,47.6
Story18,ED1_DYN_XN,Combination,Min,None,Diaph D1 Y,0.001409,0.000778,1.811,2,0,6.446,47.6
Story18,ED1_DYN_YP,Combination,Max,None,Diaph D1 Y,0.001688,0.00149,1.132,2,0,6.446,47.6
Story18,ED1_DYN_YP,Combination,Min,None,Diaph D1 Y,0.002085,0.001805,1.155,2,0,6.446,47.6
Story18,ED1_DYN_YN,Combination,Max,None,Diaph D1 Y,0.001688,0.00149,1.132,2,0,6.446,47.6
Story18,ED1_DYN_YN,Combination,Min,None,Diaph D1 Y,0.002085,0.001805,1.155,2,0,6.446,47.6
