Story,Label,UniqueName,OutputCase,CaseType,StepType,StepNumber,DispX,DispY,DriftX,DriftY
Story20,4,137,MODAL,LinModEigen,Mode,1,1.7E-05,-1.7E-05,3.72E-07,3.991E-07
Story20,4,137,MODAL,LinModEigen,Mode,2,1.426E-07,2.1E-05,0,1E-06
Story20,4,137,MODAL,LinModEigen,Mode,3,-8E-06,-1.7E-05,1.479E-07,4.168E-07
Story20,4,137,MODAL,LinModEigen,Mode,4,1.9E-05,-7E-06,2E-06,1E-06
Story20,4,137,MODAL,LinModEigen,Mode,5,-4.095E-07,1.8E-05,3.205E-08,2E-06
Story20,4,137,MODAL,LinModEigen,Mode,6,4.944E-07,-2.4E-05,6.585E-08,2E-06
Story20,4,137,MODAL,LinModEigen,Mode,7,1.8E-05,-5E-06,2E-06,1E-06
Story20,4,137,MODAL,LinModEigen,Mode,8,-1.618E-07,1.7E-05,1.878E-08,2E-06
Story20,4,137,MODAL,LinModEigen,Mode,9,-1E-06,2.3E-05,2.25E-07,3E-06
Story20,4,137,MODAL,LinModEigen,Mode,10,1.6E-05,-5E-06,3E-06,1E-06
Story20,4,137,MODAL,LinModEigen,Mode,11,-7.079E-08,1.6E-05,9.93E-09,3E-06
Story20,4,137,MODAL,LinModEigen,Mode,12,2E-06,-2.1E-05,3.785E-07,4E-06
Story20,4,137,PP,LinStatic,None,None,0.000316,-0.003441,9E-06,9.9E-05
Story20,4,137,TERP,LinStatic,None,None,6.3E-05,-0.000788,2E-06,2.3E-05
Story20,4,137,TERT,LinStatic,None,None,4E-06,-4.4E-05,1.135E-07,1E-06
Story20,4,137,SCP,LinStatic,None,None,0.000112,-0.001406,3E-06,4E-05
Story20,4,137,SCT,LinStatic,None,None,4E-06,-4.4E-05,1.135E-07,1E-06
Story20,4,137,SEx,LinRespSpec,Max,None,0.039413,0.029404,0.000864,0.000709
Story20,4,137,SEy,LinRespSpec,Max,None,0.004387,0.052666,9.9E-05,0.001276
Story20,4,137,SEx_b2,LinRespSpec,Max,None,0.03841,0.025861,0.00084,0.000623
Story20,4,137,SEy_b2,LinRespSpec,Max,None,0.001594,0.042799,3.2E-05,0.001037
Story20,4,137,TorX+,LinStatic,None,None,0,0,0,0
Story20,4,137,TorX-,LinStatic,None,None,0,0,0,0
Story20,4,137,TorY+,LinStatic,None,None,0,0,0,0
Story20,4,137,TorY-,LinStatic,None,None,0,0,0,0
Story20,4,137,ED1_C1_1.4CP,Combination,None,None,0.000535,-0.005982,1.6E-05,0.000173
Story20,4,137,ED1_C2_1.2CP_1.6L_0.5Lr,Combination,None,None,0.000641,-0.007399,1.9E-05,0.000213
Story20,4,137,ED1_C3_1.2CP_L_1.6Lr,Combination,None,None,0.000577,-0.006605,1.7E-05,0.000191
Story20,4,137,ED1_DYN_XP,Combination,Max,None,0.05575,0.034632,0.001226,0.000805
Story20,4,137,ED1_DYN_XP,Combination,Min,None,-0.054607,-0.047699,0.001192,0.001181
Story20,4,137,ED1_DYN_XN,Combination,Max,None,0.05575,0.034632,0.001226,0.000805
Story20,4,137,ED1_DYN_XN,Combination,Min,None,-0.054607,-0.047699,0.001192,0.001181
Story20,4,137,ED1_DYN_YP,Combination,Max,None,0.006713,0.067198,0.000155,0.001598
Story20,4,137,ED1_DYN_YP,Combination,Min,None,-0.005571,-0.080265,0.000121,0.001975
Story20,4,137,ED1_DYN_YN,Combination,Max,None,0.006713,0.067198,0.000155,0.001598
Story20,4,137,ED1_DYN_YN,Combination,Min,None,-0.005571,-0.080265,0.000121,0.001975
