Story,OutputCase,CaseType,StepType,StepNumber,Location,P,VX,VY,T,MX,MY
Story19,MODAL,LinModEigen,Mode,4,Top,0,-0.9072,-0.0207,2.9237,0.0252,-1.0971
Story19,MODAL,LinModEigen,Mode,4,Bottom,0,-0.9072,-0.0207,2.9237,0.079,-3.4557
Story19,MODAL,LinModEigen,Mode,5,Top,0,0.02,-1.1576,-22.8005,1.4069,0.0239
Story19,MODAL,LinModEigen,Mode,5,Bottom,0,0.02,-1.1576,-22.8005,4.4165,0.0758
Story19,MODAL,LinModEigen,Mode,6,Top,0,0.3639,-0.0228,-17.7221,0.0265,0.4331
Story19,MODAL,LinModEigen,Mode,6,Bottom,0,0.3639,-0.0228,-17.7221,0.0857,1.3793
Story19,MODAL,LinModEigen,Mode,7,Top,0,-4.4332,-0.0386,18.3688,0.0535,-5.9629
Story19,MODAL,LinModEigen,Mode,7,Bottom,0,-4.4332,-0.0386,18.3688,0.1538,-17.4892
Story19,MODAL,LinModEigen,Mode,8,Top,0,0.03,-5.8838,-115.6629,7.9259,0.038
Story19,MODAL,LinModEigen,Mode,8,Bottom,0,0.03,-5.8838,-115.6629,23.2237,0.116
Story19,MODAL,LinModEigen,Mode,9,Top,0,-1.5209,0.1119,90.0277,-0.1489,-1.9993
Story19,MODAL,LinModEigen,Mode,9,Bottom,0,-1.5209,0.1119,90.0277,-0.4399,-5.9536
Story19,MODAL,LinModEigen,Mode,10,Top,0,-11.0995,-0.016,49.9962,0.032,-16.9259
Story19,MODAL,LinModEigen,Mode,10,Bottom,0,-11.0995,-0.016,49.9962,0.0735,-45.7847
Story19,MODAL,LinModEigen,Mode,11,Top,0,-0.0704,-14.6835,-285.0127,22.4313,-0.1144
Story19,MODAL,LinModEigen,Mode,11,Bottom,0,-0.0704,-14.6835,-285.0127,60.6084,-0.2974
Story19,MODAL,LinModEigen,Mode,12,Top,0,3.5265,-0.5581,-232.3067,0.8592,5.1976
Story19,MODAL,LinModEigen,Mode,12,Bottom,0,3.5265,-0.5581,-232.3067,2.3103,14.3664
Story19,PP,LinStatic,None,None,Top,632.7356,0,0,0,4405.4941,-12533.0486
Story19,PP,LinStatic,None,None,Bottom,875.2974,0,0,0,6195.3301,-17353.9518
Story19,TERP,LinStatic,None,None,Top,65.866,0,0,0,449.649,-1303.5562
Story19,TERP,LinStatic,None,None,Bottom,65.866,0,0,0,449.649,-1303.5562
Story19,TERT,LinStatic,None,None,Top,47.0472,0,0,0,321.1779,-931.1116
Story19,TERT,LinStatic,None,None,Bottom,47.0472,0,0,0,321.1779,-931.1116
Story19,SCP,LinStatic,None,None,Top,117.6179,0,0,0,802.9446,-2327.779
Story19,SCP,LinStatic,None,None,Bottom,117.6179,0,0,0,802.9446,-2327.779
Story19,SCT,LinStatic,None,None,Top,47.0472,0,0,0,321.1779,-931.1116
Story19,SCT,LinStatic,None,None,Bottom,47.0472,0,0,0,321.1779,-931.1116
Story19,SEx,LinRespSpec,Max,None,Top,0,172.8467,8.7536,1571.6405,9.644,202.9905
Story19,SEx,LinRespSpec,Max,None,Bottom,0,172.8467,8.7536,1571.6405,32.3971,651.8463
Story19,SEy,LinRespSpec,Max,None,Top,0,8.11,171.5667,3695.2014,201.4322,8.9364
Story19,SEy,LinRespSpec,Max,None,Bottom,0,8.11,171.5667,3695.2014,646.9667,30.0157
Story19,SEx_b2,LinRespSpec,Max,None,Top,0,172.8467,8.7536,1452.1948,9.644,202.9905
Story19,SEx_b2,LinRespSpec,Max,None,Bottom,0,172.8467,8.7536,1452.1948,32.3971,651.8463
Story19,SEy_b2,LinRespSpec,Max,None,Top,0,8.11,171.5667,3364.8927,201.4322,8.9364
Story19,SEy_b2,LinRespSpec,Max,None,Bottom,0,8.11,171.5667,3364.8927,646.9667,30.0157
Story19,TorX+,LinStatic,None,None,Top,0,0,0,0,0,0
Story19,TorX+,LinStatic,None,None,Bottom,0,0,0,0,0,0
Story19,TorX-,LinStatic,None,None,Top,0,0,0,0,0,0
Story19,TorX-,LinStatic,None,None,Bottom,0,0,0,0,0,0
Story19,TorY+,LinStatic,None,None,Top,0,0,0,0,0,0
Story19,TorY+,LinStatic,None,None,Bottom,0,0,0,0,0,0
Story19,TorY-,LinStatic,None,None,Top,0,0,0,0,0,0
Story19,TorY-,LinStatic,None,None,Bottom,0,0,0,0,0,0
Story19,ED1_C1_1.4CP,Combination,None,None,Top,1043.9083,0,0,0,7246.8493,-20674.8029
Story19,ED1_C1_1.4CP,Combination,None,None,Bottom,1383.4948,0,0,0,9752.6197,-27424.0674
Story19,ED1_C2_1.2CP_1.6L_0.5Lr,Combination,None,None,Top,1106.4908,0,0,0,7656.8854,-21911.2618
Story19,ED1_C2_1.2CP_1.6L_0.5Lr,Combination,None,None,Bottom,1397.565,0,0,0,9804.6886,-27696.3457
Story19,ED1_C3_1.2CP_L_1.6Lr,Combination,None,None,Top,1087.6719,0,0,0,7528.4143,-21538.8172
Story19,ED1_C3_1.2CP_L_1.6Lr,Combination,None,None,Bottom,1378.7461,0,0,0,9676.2175,-27323.901
Story19,ED1_DYN_XP,Combination,Max,None,Top,1012.3965,241.9854,12.2551,2200.2967,7028.0314,-19764.852
Story19,ED1_DYN_XP,Combination,Max,None,Bottom,1303.4706,241.9854,12.2551,2200.2967,9207.6889,-24921.5377
Story19,ED1_DYN_XP,Combination,Min,None,Top,1012.3965,-241.9854,-12.2551,-2200.2967,7001.0281,-20333.2254
Story19,ED1_DYN_XP,Combination,Min,None,Bottom,1303.4706,-241.9854,-12.2551,-2200.2967,9116.9769,-26746.7073
Story19,ED1_DYN_XN,Combination,Max,None,Top,1012.3965,241.9854,12.2551,2200.2967,7028.0314,-19764.852
Story19,ED1_DYN_XN,Combination,Max,None,Bottom,1303.4706,241.9854,12.2551,2200.2967,9207.6889,-24921.5377
Story19,ED1_DYN_XN,Combination,Min,None,Top,1012.3965,-241.9854,-12.2551,-2200.2967,7001.0281,-20333.2254
Story19,ED1_DYN_XN,Combination,Min,None,Bottom,1303.4706,-241.9854,-12.2551,-2200.2967,9116.9769,-26746.7073
Story19,ED1_DYN_YP,Combination,Max,None,Top,1012.3965,11.354,240.1933,5173.2819,7296.5348,-20036.5277
Story19,ED1_DYN_YP,Combination,Max,None,Bottom,1303.4706,11.354,240.1933,5173.2819,10068.0863,-25792.1005
Story19,ED1_DYN_YP,Combination,Min,None,Top,1012.3965,-11.354,-240.1933,-5173.2819,6732.5246,-20061.5496
Story19,ED1_DYN_YP,Combination,Min,None,Bottom,1303.4706,-11.354,-240.1933,-5173.2819,8256.5796,-25876.1445
Story19,ED1_DYN_YN,Combination,Max,None,Top,1012.3965,11.354,240.1933,5173.2819,7296.5348,-20036.5277
Story19,ED1_DYN_YN,Combination,Max,None,Bottom,1303.4706,11.354,240.1933,5173.2819,10068.0863,-25792.1005
Story19,ED1_DYN_YN,Combination,Min,None,Top,1012.3965,-11.354,-240.1933,-5173.2819,6732.5246,-20061.5496
Story19,ED1_DYN_YN,Combination,Min,None,Bottom,1303.4706,-11.354,-240.1933,-5173.2819,8256.5796,-25876.1445
Story19,ED1_DYN_09_XP,Combination,Max,None,Top,671.0839,241.9854,12.2551,2200.2967,4672.1905,-13006.758
Story19,ED1_DYN_09_XP,Combination,Max,None,Bottom,889.3895,241.9854,12.2551,2200.2967,6314.8972,-16717.1729
Story19,ED1_DYN_09_XP,Combination,Min,None,Top,671.0839,-241.9854,-12.2551,-2200.2967,4645.1872,-13575.1315
Story19,ED1_DYN_09_XP,Combination,Min,None,Bottom,889.3895,-241.9854,-12.2551,-2200.2967,6224.1852,-18542.3424
Story19,ED1_DYN_09_XN,Combination,Max,None,Top,671.0839,241.9854,12.2551,2200.2967,4672.1905,-13006.758
Story19,ED1_DYN_09_XN,Combination,Max,None,Bottom,889.3895,241.9854,12.2551,2200.2967,6314.8972,-16717.1729
Story19,ED1_DYN_09_XN,Combination,Min,None,Top,671.0839,-241.9854,-12.2551,-2200.2967,4645.1872,-13575.1315
Story19,ED1_DYN_09_XN,Combination,Min,None,Bottom,889.3895,-241.9854,-12.2551,-2200.2967,6224.1852,-18542.3424
Story19,ED1_DYN_09_YP,Combination,Max,None,Top,671.0839,11.354,240.1933,5173.2819,4940.6939,-13278.4338
Story19,ED1_DYN_09_YP,Combination,Max,None,Bottom,889.3895,11.354,240.1933,5173.2819,7175.2946,-17587.7356
Story19,ED1_DYN_09_YP,Combination,Min,None,Top,671.0839,-11.354,-240.1933,-5173.2819,4376.6837,-13303.4557
Story19,ED1_DYN_09_YP,Combination,Min,None,Bottom,889.3895,-11.354,-240.1933,-5173.2819,5363.7879,-17671.7797
Story19,ED1_DYN_09_YN,Combination,Max,None,Top,671.0839,11.354,240.1933,5173.2819,4940.6939,-13278.4338
Story19,ED1_DYN_09_YN,Combination,Max,None,Bottom,889.3895,11.354,240.1933,5173.2819,7175.2946,-17587.7356
Story19,ED1_DYN_09_YN,Combination,Min,None,Top,671.0839,-11.354,-240.1933,-5173.2819,4376.6837,-13303.4557
Story19,ED1_DYN_09_YN,Combination,Min,None,Bottom,889.3895,-11.354,-240.1933,-5173.2819,5363.7879,-17671.7797
Story18,Dead,LinStatic,None,None,Top,1070.3843,0,0,0,7503.1591,-21210.0244
Story18,Dead,LinStatic,None,None,Bottom,1312.9461,0,0,0,9292.9951,-26030.9276
Story18,Live,LinStatic,None,None,Top,0,0,0,0,0,0
Story18,Live,LinStatic,None,None,Bottom,0,0,0,0,0,0
Story18,MODAL,LinModEigen,Mode,1,Top,0,-0.058,-0.003,-0.2882,0.0071,-0.1387
Story18,MODAL,LinModEigen,Mode,1,Bottom,0,-0.058,-0.003,-0.2882,0.0149,-0.2895
Story18,MODAL,LinModEigen,Mode,2,Top,0,-0.0033,-0.0815,-1.4945,0.1955,-0.0078
Story18,MODAL,LinModEigen,Mode,2,Bottom,0,-0.0033,-0.0815,-1.4945,0.4075,-0.0164
Story18,MODAL,LinModEigen,Mode,3,Top,0,0.0629,-0.0097,-1.4601,0.0231,0.1496
Story18,MODAL,LinModEigen,Mode,3,Bottom,0,0.0629,-0.0097,-1.4601,0.0482,0.3131
Story18,MODAL,LinModEigen,Mode,4,Top,0,-1.257,-0.0283,4.0974,0.079,-3.4557
Story18,MODAL,LinModEigen,Mode,4,Bottom,0,-1.257,-0.0283,4.0974,0.1527,-6.7238
Story18,MODAL,LinModEigen,Mode,5,Top,0,0.028,-1.5941,-31.4074,4.4165,0.0758
Story18,MODAL,LinModEigen,Mode,5,Bottom,0,0.028,-1.5941,-31.4074,8.5611,0.1486
Story18,MODAL,LinModEigen,Mode,6,Top,0,0.5065,-0.0319,-24.4706,0.0857,1.3793
Story18,MODAL,LinModEigen,Mode,6,Bottom,0,0.5065,-0.0319,-24.4706,0.1687,2.6962
Story18,MODAL,LinModEigen,Mode,7,Top,0,-5.3148,-0.044,22.2418,0.1538,-17.4892
Story18,MODAL,LinModEigen,Mode,7,Bottom,0,-5.3148,-0.044,22.2418,0.2682,-31.3076
Story18,MODAL,LinModEigen,Mode,8,Top,0,0.0387,-7.0369,-138.3313,23.2237,0.116
Story18,MODAL,LinModEigen,Mode,8,Bottom,0,0.0387,-7.0369,-138.3313,41.5196,0.2166
Story18,MODAL,LinModEigen,Mode,9,Top,0,-1.8409,0.1318,107.5902,-0.4399,-5.9536
Story18,MODAL,LinModEigen,Mode,9,Bottom,0,-1.8409,0.1318,107.5902,-0.7825,-10.7398
Story18,MODAL,LinModEigen,Mode,10,Top,0,-10.6317,-0.0069,48.6918,0.0735,-45.7847
Story18,MODAL,LinModEigen,Mode,10,Bottom,0,-10.6317,-0.0069,48.6918,0.0914,-73.427
Story18,MODAL,LinModEigen,Mode,11,Top,0,-0.0593,-14.0264,-272.1832,60.6084,-0.2974
Story18,MODAL,LinModEigen,Mode,11,Bottom,0,-0.0593,-14.0264,-272.1832,97.0771,-0.4516
Story18,MODAL,LinModEigen,Mode,12,Top,0,3.4609,-0.5183,-221.4304,2.3103,14.3664
Story18,MODAL,LinModEigen,Mode,12,Bottom,0,3.4609,-0.5183,-221.4304,3.6578,23.3647
Story18,PP,LinStatic,None,None,Top,1070.3843,0,0,0,7503.1591,-21210.0244
Story18,PP,LinStatic,None,None,Bottom,1312.9461,0,0,0,9292.9951,-26030.9276
Story18,TERP,LinStatic,None,None,Top,131.7321,0,0,0,899.298,-2607.1125
Story18,TERP,LinStatic,None,None,Bottom,131.7321,0,0,0,899.298,-2607.1125
Story18,TERT,LinStatic,None,None,Top,47.0472,0,0,0,321.1779,-931.1116
Story18,TERT,LinStatic,None,None,Bottom,47.0472,0,0,0,321.1779,-931.1116
Story18,SCP,LinStatic,None,None,Top,235.2358,0,0,0,1605.8893,-4655.558
Story18,SCP,LinStatic,None,None,Bottom,235.2358,0,0,0,1605.8893,-4655.558
Story18,SCT,LinStatic,None,None,Top,47.0472,0,0,0,321.1779,-931.1116
Story18,SCT,LinStatic,None,None,Bottom,47.0472,0,0,0,321.1779,-931.1116
Story18,SEx,LinRespSpec,Max,None,Top,0,249.6601,13.3669,2355.9103,32.3971,651.8463
Story18,SEx,LinRespSpec,Max,None,Bottom,0,249.6601,13.3669,2355.9103,67.1289,1298.7348
Story18,SEy,LinRespSpec,Max,None,Top,0,12.3966,247.9327,5335.454,646.9667,30.0157
Story18,SEy,LinRespSpec,Max,None,Bottom,0,12.3966,247.9327,5335.454,1289.4314,62.2246
Story18,SEx_b2,LinRespSpec,Max,None,Top,0,249.6601,13.3669,2183.3827,32.3971,651.8463
