Story,OutputCase,CaseType,StepType,StepNumber,Direction,Drift,Label,X,Y,Z
Story19,ED1_DYN_YP,Combination,Min,None,Y,0.002076,2,0,6.446,50.2
Story19,ED1_DYN_YN,Combination,Max,None,Y,0.001675,2,0,6.446,50.2
Story19,ED1_DYN_YN,Combination,Min,None,Y,0.002076,2,0,6.446,50.2
Story19,ED1_DYN_09_XP,Combination,Max,None,X,0.001342,15,27.834,0,50.2
Story19,ED1_DYN_09_XP,Combination,Max,None,Y,0.001277,22,38.505,13.821,50.2
Story19,ED1_DYN_09_XP,Combination,Min,None,X,0.001305,15,27.834,0,50.2
Story19,ED1_DYN_09_XP,Combination,Min,None,Y,0.001321,2,0,6.446,50.2
Story19,ED1_DYN_09_XN,Combination,Max,None,X,0.001342,15,27.834,0,50.2
Story19,ED1_DYN_09_XN,Combination,Max,None,Y,0.001277,22,38.505,13.821,50.2
Story19,ED1_DYN_09_XN,Combination,Min,None,X,0.001305,15,27.834,0,50.2
Story19,ED1_DYN_09_XN,Combination,Min,None,Y,0.001321,2,0,6.446,50.2
Story19,ED1_DYN_09_YP,Combination,Max,None,Y,0.001757,2,0,6.446,50.2
Story19,ED1_DYN_09_YP,Combination,Min,None,Y,0.001994,2,0,6.446,50.2
Story19,ED1_DYN_09_YN,Combination,Max,None,Y,0.001757,2,0,6.446,50.2
Story19,ED1_DYN_09_YN,Combination,Min,None,Y,0.001994,2,0,6.446,50.2
Story18,Dead,LinStatic,None,None,Y,0.000105,2,0,6.446,47.6
Story18,MODAL,LinModEigen,Mode,1,X,4.656E-07,15,27.834,0,47.6
Story18,MODAL,LinModEigen,Mode,2,Y,1E-06,2,0,6.446,47.6
Story18,MODAL,LinModEigen,Mode,3,X,4.493E-07,53,25.115,13.821,47.6
Story18,MODAL,LinModEigen,Mode,3,Y,1E-06,22,38.505,13.821,47.6
Story18,MODAL,LinModEigen,Mode,4,X,2E-06,15,27.834,0,47.6
Story18,MODAL,LinModEigen,Mode,5,Y,2E-06,2,0,6.446,47.6
Story18,MODAL,LinModEigen,Mode,6,X,1E-06,53,25.115,13.821,47.6
Story18,MODAL,LinModEigen,Mode,6,Y,2E-06,2,0,6.446,47.6
Story18,MODAL,LinModEigen,Mode,7,X,3E-06,15,27.834,0,47.6
Story18,MODAL,LinModEigen,Mode,8,Y,2E-06,2,0,6.446,47.6
Story18,MODAL,LinModEigen,Mode,9,X,2E-06,53,25.115,13.821,47.6
Story18,MODAL,LinModEigen,Mode,9,Y,4E-06,2,0,6.446,47.6
Story18,MODAL,LinModEigen,Mode,10,X,3E-06,15,27.834,0,47.6
Story18,MODAL,LinModEigen,Mode,11,Y,3E-06,2,0,6.446,47.6
Story18,MODAL,LinModEigen,Mode,12,X,2E-06,53,25.115,13.821,47.6
Story18,PP,LinStatic,None,None,Y,0.000105,2,0,6.446,47.6
Story18,TERP,LinStatic,None,None,Y,2.4E-05,2,0,6.446,47.6
Story18,TERT,LinStatic,None,None,Y,2E-06,2,0,6.446,47.6
Story18,SCP,LinStatic,None,None,Y,4.3E-05,2,0,6.446,47.6
Story18,SCT,LinStatic,None,None,Y,2E-06,2,0,6.446,47.6
Story18,SEx,LinRespSpec,Max,None,X,0.00096,15,27.834,0,47.6
Story18,SEx,LinRespSpec,Max,None,Y,0.000934,22,38.505,13.821,47.6
Story18,SEy,LinRespSpec,Max,None,Y,0.001347,2,0,6.446,47.6
Story18,SEx_b2,LinRespSpec,Max,None,X,0.000919,15,27.834,0,47.6
Story18,SEx_b2,LinRespSpec,Max,None,Y,0.000838,22,38.505,13.821,47.6
Story18,SEy_b2,LinRespSpec,Max,None,Y,0.00106,2,0,6.446,47.6
Story18,ED1_C1_1.4CP,Combination,None,None,Y,0.000182,2,0,6.446,47.6
Story18,ED1_C2_1.2CP_1.6L_0.5Lr,Combination,None,None,Y,0.000225,2,0,6.446,47.6
Story18,ED1_C3_1.2CP_L_1.6Lr,Combination,None,None,Y,0.000201,2,0,6.446,47.6
Story18,ED1_DYN_XP,Combination,Max,None,X,0.001375,15,27.834,0,47.6
Story18,ED1_DYN_XP,Combination,Max,None,Y,0.001272,22,38.505,13.821,47.6
Story18,ED1_DYN_XP,Combination,Min,None,X,0.001314,15,27.834,0,47.6
Story18,ED1_DYN_XP,Combination,Min,None,Y,0.001409,2,0,6.446,47.6
Story18,ED1_DYN_XN,Combination,Max,None,X,0.001375,15,27.834,0,47.6
